company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Emerging Growth,1.4619661846864136
ADANIENSOL,3,High Return on Equity,0.0
ADANIENT,1,Value Cyclicals,0.9943091532107743
ADANIGREEN,2,Value Cyclicals,2.6646779986253977
ADANIPORTS,2,Value Cyclicals,0.9724577023538727
ADANIPOWER,1,Value Cyclicals,0.9918550177912959
ATGL,1,Value Cyclicals,1.2095742774484886
AMBUJACEM,1,Value Cyclicals,1.137598408626996
APOLLOHOSP,1,Value Cyclicals,0.5367017520869498
ASIANPAINT,1,Value Cyclicals,0.14474750034188927
DMART,1,Value Cyclicals,1.2145502794746317
AXISBANK,1,Value Cyclicals,1.1479989874593177
BAJAJ-AUTO,1,Value Cyclicals,0.6373558171588026
BAJFINANCE,1,Value Cyclicals,1.7012810523523747
BAJAJFINSV,1,Value Cyclicals,1.3520130924701041
BAJAJHLDNG,2,Value Cyclicals,2.241952614398864
BANKBARODA,1,Value Cyclicals,1.2585558370369356
BEL,1,Value Cyclicals,0.6610895873865767
BHEL,1,Value Cyclicals,2.449944614246804
BPCL,1,Value Cyclicals,0.6921479497994751
BHARTIARTL,2,Value Cyclicals,1.0830583127198465
BOSCHLTD,1,Value Cyclicals,0.9445441772890091
BRITANNIA,1,Value Cyclicals,0.528644664055826
CANBK,1,Value Cyclicals,1.24461016895044
CHOLAFIN,1,Value Cyclicals,1.3853589953641794
CIPLA,2,Value Cyclicals,0.8885282865518181
COALINDIA,2,Value Cyclicals,1.2617646829602291
DLF,1,Value Cyclicals,2.4795680911125575
DABUR,1,Value Cyclicals,0.6338120226774684
DIVISLAB,1,Value Cyclicals,0.4500997607273398
DRREDDY,1,Value Cyclicals,0.48687992173042544
EICHERMOT,1,Value Cyclicals,0.6307506486889659
GAIL,0,Emerging Growth,1.8496825618189119
GODREJCP,1,Value Cyclicals,0.8862777103654489
GRASIM,1,Value Cyclicals,0.19236412397897476
HCLTECH,1,Value Cyclicals,1.1982854030375427
HDFCBANK,2,Value Cyclicals,1.127736743590121
HDFCLIFE,0,Emerging Growth,4.066220371916104
HAVELLS,1,Value Cyclicals,0.4382490859447599
HEROMOTOCO,2,Value Cyclicals,1.8502117287329958
HINDALCO,2,Value Cyclicals,0.7856794064865498
HAL,1,Value Cyclicals,1.0891820455385142
HINDUNILVR,2,Value Cyclicals,0.8458509957814485
ICICIBANK,2,Value Cyclicals,0.7562599957562842
ICICIGI,2,Value Cyclicals,1.0540970651302253
ICICIPRULI,2,Value Cyclicals,1.140139629744333
ITC,1,Value Cyclicals,0.8688312752600956
IOC,1,Value Cyclicals,0.7595154077789102
IRCTC,1,Value Cyclicals,0.9046675846902689
IRFC,2,Value Cyclicals,0.9494791711384817
INDUSINDBK,1,Value Cyclicals,1.1086244399896146
NAUKRI,1,Value Cyclicals,0.7885468952594947
INFY,1,Value Cyclicals,0.1545435706207183
INDIGO,2,Value Cyclicals,1.5868904134505921
JSWENERGY,1,Value Cyclicals,1.4240966243384114
JSWSTEEL,1,Value Cyclicals,0.49042722680267586
JINDALSTEL,1,Value Cyclicals,1.533883609179797
JIOFIN,2,Value Cyclicals,0.3822717812510079
KOTAKBANK,2,Value Cyclicals,0.5142033764567102
LTIM,1,Value Cyclicals,2.4623311233909573
LT,1,Value Cyclicals,0.4189283927196498
LICI,4,High Debt to Equity,0.0
LODHA,1,Value Cyclicals,2.0920162282513197
M&M,1,Value Cyclicals,0.927717544367336
MARUTI,1,Value Cyclicals,0.43928725591504975
NHPC,0,Emerging Growth,1.5242362424153073
NTPC,1,Value Cyclicals,0.2933904648543644
NESTLEIND,1,Value Cyclicals,0.32190680384673537
ONGC,1,Value Cyclicals,0.8092156312216149
PIDILITIND,1,Value Cyclicals,0.15688529631247036
PFC,1,Value Cyclicals,0.6933350120102717
POWERGRID,2,Value Cyclicals,1.40054596513434
PNB,1,Value Cyclicals,0.8907906045173992
RECLTD,2,Value Cyclicals,0.8980818621916187
RELIANCE,1,Value Cyclicals,0.46289315573846757
SBILIFE,1,Value Cyclicals,1.9916344019787964
MOTHERSON,1,Value Cyclicals,0.7412095731309036
SHREECEM,1,Value Cyclicals,0.2947740969393818
SHRIRAMFIN,1,Value Cyclicals,0.9585223055687588
SIEMENS,1,Value Cyclicals,0.34978106100373196
SBIN,1,Value Cyclicals,1.3128143896433666
SUNPHARMA,1,Value Cyclicals,0.43873769608831054
TVSMOTOR,1,Value Cyclicals,0.4231055594161403
TCS,1,Value Cyclicals,0.3446566081727042
TATACONSUM,1,Value Cyclicals,0.846855938564972
TATAMOTORS,1,Value Cyclicals,1.8328216827579042
TATAPOWER,1,Value Cyclicals,0.49675873959626765
TATASTEEL,1,Value Cyclicals,0.7702861755201579
TECHM,1,Value Cyclicals,0.7284746234317375
TITAN,1,Value Cyclicals,1.2370650752407801
TORNTPHARM,1,Value Cyclicals,0.8531291864437625
TRENT,1,Value Cyclicals,3.312269083010183
